fips,name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2022,percentChange_2020_2022
6000,California,29811427,33871653,37253956,39538245,39029342,-1.30%
6001,Alameda,1304347,1443705,1510271,1682331,1628997,-3.20%
6003,Alpine,1113,1206,1175,1201,1190,-0.90%
6005,Amador,30039,35101,38091,40474,41412,2.30%
6007,Butte,182120,203125,220000,211631,207303,-2.00%
6009,Calaveras,31998,40535,45578,45285,46563,2.80%
6011,Colusa,16275,18799,21419,21837,21914,0.40%
6013,Contra Costa,803731,948865,1049025,1165927,1156966,-0.80%
6015,Del Norte,23460,27505,28610,27745,27082,-2.40%
6017,El Dorado,125995,156314,181058,191184,192646,0.80%
6019,Fresno,667479,798766,930450,1008650,1015190,0.60%
6021,Glenn,24798,26432,28122,28915,28339,-2.00%
6023,Humboldt,119118,126508,134623,136465,135010,-1.10%
6025,Imperial,109303,142334,174528,179709,178713,-0.60%
6027,Inyo,18281,17955,18546,19025,18718,-1.60%
6029,Kern,544981,661632,839631,909244,916108,0.80%
6031,Kings,101469,129470,152982,152488,152981,0.30%
6033,Lake,50631,58331,64665,68158,68191,0.00%
6035,Lassen,27598,33828,34895,32730,29904,-8.60%
6037,Los Angeles,8863052,9519315,9818605,10014042,9721138,-2.90%
6039,Madera,88090,123179,150865,156259,160256,2.60%
6041,Marin,230096,247301,252409,262318,256018,-2.40%
6043,Mariposa,14302,17112,18251,17128,17020,-0.60%
6045,Mendocino,80345,86253,87841,91595,89783,-2.00%
6047,Merced,178403,211178,255793,281202,290014,3.10%
6049,Modoc,9678,9431,9686,8700,8511,-2.20%
6051,Mono,9956,12839,14202,13198,12978,-1.70%
6053,Monterey,355660,401752,415057,439036,432858,-1.40%
6055,Napa,110765,124344,136484,138024,134300,-2.70%
6057,Nevada,78510,92055,98764,102235,102293,0.10%
6059,Orange,2410668,2846282,3010232,3186979,3151184,-1.10%
6061,Placer,172796,248270,348432,404740,417772,3.20%
6063,Plumas,19739,20817,20007,19796,19351,-2.20%
6065,Riverside,1170413,1545320,2189641,2418177,2473902,2.30%
6067,Sacramento,1066789,1223578,1418788,1585046,1584169,-0.10%
6069,San Benito,36697,53214,55269,64207,67579,5.30%
6071,San Bernardino,1418380,1709479,2035210,2181662,2193656,0.50%
6073,San Diego,2498016,2813839,3095313,3298635,3276208,-0.70%
6075,San Francisco,723959,776764,805235,873959,808437,-7.50%
6077,San Joaquin,480628,563660,685306,779227,793229,1.80%
6079,San Luis Obispo,217162,246746,269637,282443,282013,-0.20%
6081,San Mateo,649623,707099,718451,764432,729181,-4.60%
6083,Santa Barbara,369608,399293,423895,448217,443837,-1.00%
6085,Santa Clara,1497577,1682781,1781642,1936274,1870945,-3.40%
6087,Santa Cruz,229734,255614,262382,270869,264370,-2.40%
6089,Shasta,147036,163242,177223,182152,180930,-0.70%
6091,Sierra,3318,3559,3240,3234,3217,-0.50%
6093,Siskiyou,43531,44305,44900,44075,43660,-0.90%
6095,Solano,339469,394495,413344,453490,448747,-1.00%
6097,Sonoma,388222,458586,483878,488875,482650,-1.30%
6099,Stanislaus,370522,446850,514453,552880,551275,-0.30%
6101,Sutter,64409,78947,94737,99631,98503,-1.10%
6103,Tehama,49625,56060,63463,65831,65245,-0.90%
6105,Trinity,13063,13011,13786,16112,15781,-2.10%
