fips,name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2022,percentChange_2020_2022
48000,Texas,16986335,20851028,25145561,29145428,30029572,3.00%
48001,Anderson,48024,55114,58458,57922,58064,0.20%
48003,Andrews,14338,13002,14786,18614,18334,-1.50%
48005,Angelina,69884,80123,86771,86394,87101,0.80%
48007,Aransas,17892,22457,23158,23831,24944,4.70%
48009,Archer,7973,8904,9054,8554,8835,3.30%
48011,Armstrong,2021,2153,1901,1846,1850,0.20%
48013,Atascosa,30533,38564,44911,48985,50864,3.80%
48015,Austin,19832,23586,28417,30168,31097,3.10%
48017,Bailey,7064,6593,7165,6904,6779,-1.80%
48019,Bandera,10562,17589,20485,20843,22115,6.10%
48021,Bastrop,38263,57702,74171,97218,106188,9.20%
48023,Baylor,4385,4091,3726,3465,3466,0.00%
48025,Bee,25135,32347,31861,31061,30394,-2.10%
48027,Bell,191073,238000,310235,370644,388386,4.80%
48029,Bexar,1185394,1393035,1714773,2009322,2059530,2.50%
48031,Blanco,5972,8436,10497,11376,12418,9.20%
48033,Borden,799,729,641,628,585,-6.80%
48035,Bosque,15125,17188,18212,18226,18697,2.60%
48037,Bowie,81665,89296,92565,92903,92035,-0.90%
48039,Brazoria,191707,241805,313166,372040,388181,4.30%
48041,Brazos,121862,152436,194851,233848,242014,3.50%
48043,Brewster,8653,8872,9232,9545,9343,-2.10%
48045,Briscoe,1971,1805,1637,1434,1431,-0.20%
48047,Brooks,8204,7980,7223,7086,6906,-2.50%
48049,Brown,34371,37668,38106,38101,38373,0.70%
48051,Burleson,13625,16449,17187,17642,18657,5.80%
48053,Burnet,22677,34188,42750,49123,52502,6.90%
48055,Caldwell,26392,32101,38066,45887,47848,4.30%
48057,Calhoun,19053,20645,21381,20105,19706,-2.00%
48059,Callahan,11859,12873,13544,13703,14210,3.70%
48061,Cameron,260120,334884,406220,421012,425208,1.00%
48063,Camp,9904,11533,12401,12465,12716,2.00%
48065,Carson,6576,6503,6182,5799,5784,-0.30%
48067,Cass,29982,30427,30464,28445,28539,0.30%
48069,Castro,9070,8276,8062,7376,7298,-1.10%
48071,Chambers,20088,26006,35096,46571,51288,10.10%
48073,Cherokee,41049,46716,50845,50411,51645,2.40%
48075,Childress,5953,7697,7041,6666,6809,2.10%
48077,Clay,10024,10997,10752,10213,10486,2.70%
48079,Cochran,4377,3724,3127,2543,2526,-0.70%
48081,Coke,3424,3865,3320,3280,3333,1.60%
48083,Coleman,9710,9232,8895,7686,7850,2.10%
48085,Collin,264036,491272,782341,1066465,1158696,8.60%
48087,Collingsworth,3573,3206,3057,2648,2568,-3.00%
48089,Colorado,18383,20356,20874,20555,20754,1.00%
48091,Comal,51832,78022,108472,161482,184642,14.30%
48093,Comanche,13381,14027,13974,13590,13878,2.10%
48095,Concho,3044,3964,4087,3303,3340,1.10%
48097,Cooke,30777,36370,38437,41671,43050,3.30%
48099,Coryell,64226,74899,75388,83091,85057,2.40%
48101,Cottle,2247,1899,1505,1380,1307,-5.30%
48103,Crane,4652,3996,4375,4676,4546,-2.80%
48105,Crockett,4078,4099,3719,3097,2943,-5.00%
48107,Crosby,7304,7072,6059,5125,4998,-2.50%
48109,Culberson,3407,2979,2398,2188,2155,-1.50%
48111,Dallam,5461,6213,6703,7121,7241,1.70%
48113,Dallas,1852691,2216808,2368139,2611491,2600840,-0.40%
48115,Dawson,14349,14987,13833,12457,12130,-2.60%
48117,Deaf Smith,19153,18565,19372,18585,18377,-1.10%
48119,Delta,4857,5319,5231,5225,5406,3.50%
48121,Denton,273644,433065,662614,906405,977281,7.80%
48123,DeWitt,18840,19999,20097,19822,19772,-0.30%
48125,Dickens,2571,2760,2444,1769,1726,-2.40%
48127,Dimmit,10433,10205,9996,8611,8387,-2.60%
48129,Donley,3696,3814,3677,3261,3339,2.40%
48131,Duval,12918,13073,11782,9827,9888,0.60%
48133,Eastland,18488,18289,18583,17733,17944,1.20%
48135,Ector,118934,121124,137130,165171,160869,-2.60%
48137,Edwards,2266,2160,2002,1427,1422,-0.40%
48139,Ellis,85167,111415,149610,192441,212182,10.30%
48141,El Paso,591610,679568,800647,865655,868763,0.40%
48143,Erath,27991,32981,37890,42545,43895,3.20%
48145,Falls,17712,18563,17866,16963,17049,0.50%
48147,Fannin,24804,31225,33915,35661,37125,4.10%
48149,Fayette,20095,21818,24554,24436,24913,2.00%
48151,Fisher,4842,4345,3974,3671,3622,-1.30%
48153,Floyd,8497,7770,6446,5397,5235,-3.00%
48155,Foard,1794,1621,1336,1092,1057,-3.20%
48157,Fort Bend,225421,354286,585375,822779,889146,8.10%
48159,Franklin,7802,9431,10605,10357,10618,2.50%
48161,Freestone,15818,17851,19816,19445,19950,2.60%
48163,Frio,13472,16255,17217,18392,17815,-3.10%
48165,Gaines,14123,14463,17526,21599,22181,2.70%
48167,Galveston,217396,250178,291309,350673,357117,1.80%
48169,Garza,5143,4876,6461,5816,6262,7.70%
48171,Gillespie,17204,20806,24837,26722,27477,2.80%
48173,Glasscock,1447,1413,1226,1115,1164,4.40%
48175,Goliad,5980,6923,7210,7018,7131,1.60%
48177,Gonzales,17205,18601,19807,19657,19832,0.90%
48179,Gray,23967,22742,22535,21229,21015,-1.00%
48181,Grayson,95019,110574,120877,135552,143131,5.60%
48183,Gregg,104948,111328,121730,124234,125443,1.00%
48185,Grimes,18843,23544,26604,29292,30754,5.00%
48187,Guadalupe,64873,88856,131533,172709,182760,5.80%
48189,Hale,34671,36605,36273,32526,31827,-2.10%
48191,Hall,3905,3782,3353,2817,2810,-0.20%
48193,Hamilton,7733,8226,8517,8221,8298,0.90%
48195,Hansford,5848,5369,5613,5281,5151,-2.50%
48197,Hardeman,5283,4723,4139,3549,3516,-0.90%
48199,Hardin,41320,48075,54635,56234,57811,2.80%
48201,Harris,2818101,3401139,4092459,4731129,4780913,1.10%
48203,Harrison,57483,62096,65631,68834,69955,1.60%
48205,Hartley,3634,5538,6062,5376,5208,-3.10%
48207,Haskell,6820,6091,5899,5412,5403,-0.20%
48209,Hays,65614,97918,157107,241066,269225,11.70%
48211,Hemphill,3720,3353,3807,3383,3217,-4.90%
48213,Henderson,58543,73105,78532,82145,84511,2.90%
48215,Hidalgo,383545,569099,774769,870796,888367,2.00%
48217,Hill,27146,32301,35089,35869,37329,4.10%
48219,Hockley,24199,22719,22935,21543,21161,-1.80%
48221,Hood,28981,40987,51182,61597,66373,7.80%
48223,Hopkins,28833,31960,35161,36792,37804,2.80%
48225,Houston,21375,23148,23732,22067,21950,-0.50%
48227,Howard,32343,33630,35012,34864,33672,-3.40%
48229,Hudspeth,2915,3349,3476,3206,3432,7.00%
48231,Hunt,64343,76562,86129,99957,108282,8.30%
48233,Hutchinson,25689,23864,22150,20614,20215,-1.90%
48235,Irion,1629,1765,1599,1513,1530,1.10%
48237,Jack,6981,8751,9044,8474,8922,5.30%
48239,Jackson,13039,14387,14075,14987,15142,1.00%
48241,Jasper,31102,35552,35710,32983,32484,-1.50%
48243,Jeff Davis,1946,2207,2342,2000,1903,-4.90%
48245,Jefferson,239389,251968,252273,256526,250830,-2.20%
48247,Jim Hogg,5109,5283,5300,4835,4763,-1.50%
48249,Jim Wells,37679,39344,40838,38893,38826,-0.20%
48251,Johnson,97165,126622,150934,179999,195506,8.60%
48253,Jones,16490,20794,20202,19653,19935,1.40%
48255,Karnes,12455,15438,14824,14707,14836,0.90%
48257,Kaufman,52220,71452,103350,145303,172366,18.60%
48259,Kendall,14589,23793,33410,44281,48973,10.60%
48261,Kenedy,460,414,416,352,358,1.70%
48263,Kent,1010,859,808,753,740,-1.70%
