fips,name,state,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
48000,Texas,TX,5.2,4.5,4.6,4.3,3.9,3.5,7.7,5.6,3.9,66959,100
48001,Anderson,TX,4.7,4,4.3,3.7,3.1,2.9,5.7,4.9,3.4,54515,81.4
48003,Andrews,TX,3,3.5,4.7,3.1,2.4,2.3,8.2,5.7,3.2,70005,104.5
48005,Angelina,TX,5.3,5.6,5.9,5.1,4.4,4,7.7,6.4,4.6,50620,75.6
48007,Aransas,TX,5.6,5.1,5.6,6.9,6,4.3,8.4,7.2,5.3,55435,82.8
48009,Archer,TX,4.6,4.5,4.3,3.4,3.1,2.8,5.3,4.3,3.4,69286,103.5
48011,Armstrong,TX,3.3,2.7,2.8,2.6,2.7,2.7,4.3,3.7,2.8,64401,96.2
48013,Atascosa,TX,5,4.8,5.3,4.3,3.8,3.6,8.6,6.1,4,57905,86.5
48015,Austin,TX,4.8,4.6,5.3,4.4,3.7,3.4,6.7,5.5,3.9,68150,101.8
48017,Bailey,TX,5.1,4.3,4.4,4.3,4.4,3.7,4.8,5,4.2,47375,70.8
48019,Bandera,TX,4.8,4,4.1,3.6,3.4,3.3,5.8,4.8,3.7,69051,103.1
48021,Bastrop,TX,4.9,3.9,3.7,3.6,3.4,3.1,6,4.5,3.3,72809,108.7
48023,Baylor,TX,4.3,3.6,3.6,3.4,3.2,2.2,3.4,3.4,2.7,45408,67.8
48025,Bee,TX,5.9,6.2,7.5,6.5,5.1,4.4,9.9,8.5,5.8,45431,67.8
48027,Bell,TX,5.9,4.7,4.5,4.3,4.2,3.9,7,5.8,4.4,58878,87.9
48029,Bexar,TX,4.7,3.8,3.8,3.6,3.4,3.2,7.6,5.3,3.7,63014,94.1
48031,Blanco,TX,3.7,3.2,3.1,2.8,2.6,2.4,3.9,3.4,2.8,69247,103.4
48033,Borden,TX,3.1,2.9,3.6,3.4,3.2,2.5,3.4,2.3,1.9,69744,104.2
48035,Bosque,TX,5.2,4.5,4.3,4,3.7,3.4,5.5,4.6,3.7,56041,83.7
48037,Bowie,TX,6.4,4.8,4.7,4.6,5,4.4,7.4,5.9,4.6,52934,79.1
48039,Brazoria,TX,5.2,4.6,5.2,5.3,4.6,4.2,8.6,6.8,4.5,82165,122.7
48041,Brazos,TX,4,3.3,3.5,3.1,2.9,2.7,5.3,4.1,3.1,50494,75.4
48043,Brewster,TX,4.7,4,3.8,3.5,3.4,2.9,6.6,4.6,3.4,51197,76.5
48045,Briscoe,TX,4.2,3.9,4.4,4.4,4,3.7,4.7,4.8,3.5,49905,74.5
48047,Brooks,TX,7.8,10,11.8,8.3,6.5,5.1,10.7,9.1,6,33460,50
48049,Brown,TX,5.2,4.4,4.4,3.9,3.8,3.7,6.5,5.2,4.3,48803,72.9
48051,Burleson,TX,4.8,4.4,4.7,4.2,3.6,3.1,6.4,4.9,3.6,57469,85.8
48053,Burnet,TX,4.4,3.7,3.5,3.2,2.9,2.7,4.8,3.8,3,72510,108.3
48055,Caldwell,TX,5.3,4.4,4.3,4,3.7,3.4,6.5,4.9,3.5,60063,89.7
48057,Calhoun,TX,4.8,4,5.6,5.8,4.1,3.2,5.8,4.9,3.7,70662,105.5
48059,Callahan,TX,4.5,4.3,4.3,3.7,3.4,3.1,5.5,4.7,3.6,56708,84.7
48061,Cameron,TX,8.4,7.2,7.2,7,6.2,5.5,10.1,8,5.7,46436,69.3
48063,Camp,TX,6.2,6.2,6.9,5.7,4.9,4.2,7.4,5.9,4.5,51024,76.2
48065,Carson,TX,3.4,3.2,3.3,3.3,2.8,2.6,4.2,3.9,3.1,66548,99.4
48067,Cass,TX,7.7,6.8,7.2,6,5.1,4.3,7.9,6.6,4.7,42896,64.1
48069,Castro,TX,4,3.4,3.1,3.3,2.9,2.7,3.6,3.6,3.1,62236,92.9
48071,Chambers,TX,5.8,5.4,6.1,6.6,5.4,4.5,9.4,8.1,5.3,89767,134.1
48073,Cherokee,TX,5.9,5.2,5.1,4.6,4.2,3.8,8,6.4,4.4,48664,72.7
48075,Childress,TX,3.7,3.1,3,3,2.7,2.7,3.7,3.7,2.8,42758,63.9
48077,Clay,TX,4.6,4.4,4.4,3.6,3.2,3.1,5.5,5,3.8,60973,91.1
48079,Cochran,TX,5.2,5.2,5,4.6,4.4,3.4,7.2,6.3,4.8,42274,63.1
48081,Coke,TX,4.4,4.1,4.1,3.7,3.5,3.3,5.5,4.8,3.5,46767,69.8
48083,Coleman,TX,6.2,5.6,5.8,4.5,4,4.1,7.4,6,4.3,42253,63.1
48085,Collin,TX,4.6,3.7,3.5,3.5,3.4,3.1,6.3,4.4,3.2,102119,152.5
48087,Collingsworth,TX,4.1,3.7,3.5,3.5,3.2,3.1,4.2,4.5,3.5,45734,68.3
48089,Colorado,TX,4.5,4,4.7,4,3.3,3.1,5.6,4.8,3.5,62004,92.6
48091,Comal,TX,4.6,3.7,3.6,3.4,3.2,3,6.1,4.6,3.5,93487,139.6
48093,Comanche,TX,4.9,4.3,4.3,3.7,3.6,3.2,5.5,4.6,3.5,49076,73.3
48095,Concho,TX,3,3.3,3.4,4.2,3.7,3.2,4.5,4.3,3.1,48563,72.5
48097,Cooke,TX,3.9,3.7,4,3.6,3.1,2.8,7.1,5.1,3.4,58060,86.7
48099,Coryell,TX,6,4.8,4.7,4.4,4.2,4,6.6,5.7,4.5,59718,89.2
48101,Cottle,TX,6.3,7.1,5.1,4.3,4.4,4.2,4.9,4.5,2.7,44590,66.6
48103,Crane,TX,4.1,5.8,8.6,5.3,3.9,4,13.7,9.3,5,63555,94.9
